Too Cheap,Bargain,Fleecing,Too Expensive
12000,12000,8000,8000
12000,12000,8000,8000
12000,12000,8000,8000
12000,12000,8000,8000
12000,12000,8000,8000
12000,12000,8000,8000
10000,12000,8000,20000
10000,12000,8000,20000
10000,12000,8000,25000
10000,12000,8000,25000
8000,12000,8000,25000
8000,12000,8000,25000
6000,12000,8000,25000
6000,10000,8000,25000
6000,10000,8000,25000
6000,10000,20000,25000
6000,10000,20000,25000
6000,10000,20000,25000
6000,10000,20000,25000
6000,8000,20000,25000
4000,8000,20000,35000
4000,8000,20000,35000
4000,8000,20000,35000
4000,8000,20000,35000
4000,8000,20000,35000
4000,8000,20000,35000
4000,8000,30000,35000
4000,6000,30000,45000
4000,6000,30000,45000
4000,6000,45000,45000
4000,6000,45000,45000
4000,6000,45000,45000
4000,6000,45000,45000
4000,6000,45000,45000
4000,6000,45000,45000
4000,6000,45000,45000
4000,6000,45000,60000
4000,6000,60000,60000
4000,6000,60000,75000
